Size:1853	TP:1831	FN:22	Accuracy:98.8%
Least:697	0.48
Most:1545	0.97
1489	0.83	YES
1490	0.89	YES
1491	0.87	YES
1492	0.89	YES
1493	0.86	YES
1494	0.86	YES
1495	0.69	NO
1496	0.82	YES
1497	0.79	YES
1498	0.86	YES
1499	0.90	YES
1500	0.82	YES
1501	0.75	YES
1502	0.83	YES
1503	0.90	YES
1504	0.82	YES
1505	0.90	YES
1506	0.86	YES
1507	0.85	YES
1508	0.80	YES
1509	0.86	YES
1510	0.90	YES
1511	0.84	YES
1512	0.91	YES
1513	0.87	YES
1514	0.77	YES
1515	0.88	YES
1516	0.83	YES
1517	0.86	YES
1518	0.83	YES
1519	0.90	YES
1520	0.82	YES
1521	0.90	YES
1522	0.88	YES
1523	0.91	YES
1524	0.89	YES
1525	0.82	YES
1526	0.89	YES
1527	0.91	YES
1528	0.86	YES
1529	0.90	YES
1530	0.91	YES
1531	0.87	YES
1532	0.86	YES
1533	0.89	YES
1534	0.88	YES
1535	0.90	YES
1536	0.89	YES
1537	0.87	YES
1538	0.76	YES
1539	0.86	YES
1540	0.90	YES
1541	0.82	YES
1542	0.81	YES
1543	0.88	YES
1544	0.85	YES
1545	0.97	YES
1546	0.83	YES
1547	0.87	YES
1548	0.90	YES
1549	0.75	YES
1550	0.80	YES
1551	0.91	YES
1552	0.84	YES
1553	0.92	YES
1554	0.90	YES
1555	0.90	YES
1556	0.85	YES
1557	0.89	YES
1558	0.84	YES
1559	0.87	YES
1560	0.91	YES
1561	0.89	YES
1562	0.85	YES
1563	0.86	YES
1564	0.93	YES
1565	0.84	YES
1566	0.86	YES
1567	0.85	YES
1568	0.90	YES
1569	0.85	YES
1570	0.87	YES
1571	0.73	YES
1572	0.85	YES
1573	0.85	YES
1574	0.87	YES
1575	0.92	YES
1576	0.76	YES
1577	0.91	YES
1578	0.88	YES
1579	0.84	YES
1580	0.87	YES
1581	0.89	YES
1582	0.90	YES
1583	0.91	YES
1584	0.88	YES
1585	0.81	YES
1586	0.89	YES
1587	0.87	YES
1588	0.82	YES
1589	0.89	YES
1590	0.52	NO
1591	0.78	YES
1592	0.83	YES
1593	0.80	YES
1594	0.89	YES
1595	0.67	NO
1596	0.79	YES
1597	0.90	YES
1598	0.89	YES
1599	0.79	YES
1600	0.95	YES
1601	0.89	YES
1602	0.90	YES
1603	0.70	NO
1604	0.76	YES
1605	0.84	YES
1606	0.87	YES
1607	0.90	YES
1608	0.91	YES
1609	0.93	YES
1610	0.83	YES
1611	0.85	YES
1612	0.94	YES
1613	0.79	YES
1614	0.82	YES
1615	0.71	YES
1616	0.89	YES
1617	0.89	YES
1618	0.88	YES
1619	0.74	YES
1620	0.85	YES
1621	0.87	YES
1622	0.81	YES
1623	0.87	YES
1624	0.89	YES
1625	0.90	YES
1626	0.82	YES
1627	0.92	YES
1628	0.73	YES
1629	0.82	YES
1630	0.89	YES
1631	0.87	YES
1632	0.90	YES
1633	0.89	YES
1634	0.84	YES
1635	0.89	YES
1636	0.92	YES
1637	0.88	YES
1638	0.85	YES
1639	0.74	YES
1640	0.82	YES
1641	0.92	YES
1642	0.82	YES
1643	0.89	YES
1644	0.78	YES
1645	0.85	YES
1646	0.86	YES
1647	0.78	YES
1648	0.87	YES
1649	0.86	YES
1650	0.95	YES
1651	0.91	YES
1652	0.84	YES
1653	0.78	YES
1654	0.87	YES
1655	0.78	YES
1656	0.81	YES
1657	0.93	YES
1658	0.82	YES
1659	0.91	YES
1660	0.84	YES
1661	0.61	NO
1662	0.84	YES
1663	0.89	YES
1664	0.89	YES
1665	0.79	YES
1666	0.84	YES
1667	0.73	YES
1668	0.78	YES
1669	0.90	YES
1670	0.87	YES
1671	0.77	YES
1672	0.91	YES
1673	0.77	YES
1674	0.78	YES
1675	0.89	YES
1676	0.93	YES
1677	0.93	YES
1678	0.92	YES
1679	0.88	YES
1680	0.82	YES
1681	0.86	YES
1682	0.84	YES
1683	0.89	YES
1684	0.84	YES
1685	0.81	YES
1686	0.89	YES
1687	0.84	YES
1688	0.81	YES
1689	0.90	YES
1690	0.67	NO
1691	0.91	YES
1692	0.94	YES
1693	0.89	YES
1694	0.89	YES
1695	0.80	YES
1696	0.87	YES
1697	0.84	YES
1698	0.79	YES
1699	0.91	YES
1700	0.86	YES
1701	0.89	YES
1702	0.83	YES
1703	0.89	YES
1704	0.92	YES
1705	0.84	YES
1706	0.81	YES
1707	0.88	YES
1708	0.76	YES
1709	0.74	YES
1710	0.92	YES
1711	0.91	YES
1712	0.86	YES
1713	0.78	YES
1714	0.88	YES
1715	0.86	YES
1716	0.89	YES
1717	0.85	YES
1718	0.87	YES
1719	0.91	YES
1720	0.82	YES
1721	0.83	YES
1722	0.88	YES
1723	0.87	YES
1724	0.90	YES
1725	0.86	YES
1726	0.80	YES
1727	0.88	YES
1728	0.89	YES
1729	0.88	YES
1730	0.86	YES
1731	0.91	YES
1732	0.88	YES
1733	0.88	YES
1734	0.79	YES
1735	0.86	YES
1736	0.90	YES
1737	0.86	YES
1738	0.86	YES
1739	0.88	YES
1740	0.87	YES
1741	0.86	YES
1742	0.86	YES
1743	0.83	YES
1744	0.78	YES
1745	0.88	YES
1746	0.91	YES
1747	0.89	YES
1748	0.85	YES
1749	0.88	YES
1750	0.84	YES
1751	0.90	YES
1752	0.86	YES
1753	0.92	YES
1754	0.84	YES
1755	0.83	YES
1756	0.89	YES
1757	0.81	YES
1758	0.85	YES
1759	0.86	YES
1760	0.89	YES
1761	0.93	YES
1762	0.82	YES
1763	0.76	YES
1764	0.91	YES
1765	0.87	YES
1766	0.82	YES
1767	0.83	YES
1768	0.86	YES
1769	0.90	YES
1770	0.76	YES
1771	0.91	YES
1772	0.92	YES
1773	0.84	YES
1774	0.90	YES
1775	0.84	YES
1776	0.88	YES
1777	0.85	YES
1778	0.77	YES
1779	0.88	YES
1780	0.93	YES
1781	0.82	YES
1782	0.83	YES
1783	0.78	YES
1784	0.82	YES
1785	0.86	YES
1786	0.89	YES
1787	0.76	YES
1788	0.74	YES
1789	0.86	YES
1790	0.85	YES
1791	0.87	YES
1792	0.83	YES
1793	0.87	YES
1794	0.82	YES
1795	0.92	YES
1796	0.85	YES
1797	0.84	YES
1798	0.90	YES
1799	0.81	YES
1800	0.78	YES
1801	0.79	YES
1802	0.87	YES
1803	0.84	YES
1804	0.94	YES
1805	0.95	YES
1806	0.88	YES
1807	0.87	YES
1808	0.86	YES
1809	0.86	YES
1810	0.92	YES
1811	0.88	YES
1812	0.91	YES
1813	0.86	YES
1814	0.79	YES
1815	0.88	YES
1816	0.75	YES
1817	0.96	YES
1818	0.84	YES
1819	0.88	YES
1820	0.86	YES
1821	0.87	YES
1822	0.89	YES
1823	0.85	YES
1824	0.84	YES
1825	0.91	YES
1826	0.88	YES
1827	0.80	YES
1828	0.94	YES
1829	0.92	YES
1830	0.87	YES
1831	0.84	YES
1832	0.81	YES
1833	0.86	YES
1834	0.83	YES
1835	0.78	YES
1836	0.86	YES
1837	0.92	YES
1838	0.92	YES
1839	0.81	YES
1840	0.86	YES
1841	0.83	YES
1842	0.92	YES
1843	0.91	YES
1844	0.81	YES
1845	0.90	YES
1846	0.90	YES
1847	0.84	YES
1848	0.76	YES
1849	0.89	YES
1850	0.87	YES
1851	0.91	YES
1852	0.80	YES
