Size:1853	TP:1299	FN:554	Accuracy:70.1%
Least:697	0.47
Most:1099	0.90
1489	0.76	YES
1490	0.74	YES
1491	0.80	YES
1492	0.72	YES
1493	0.82	YES
1494	0.75	YES
1495	0.64	NO
1496	0.62	NO
1497	0.70	YES
1498	0.79	YES
1499	0.75	YES
1500	0.68	NO
1501	0.70	YES
1502	0.73	YES
1503	0.78	YES
1504	0.80	YES
1505	0.74	YES
1506	0.78	YES
1507	0.67	NO
1508	0.66	NO
1509	0.66	NO
1510	0.71	YES
1511	0.76	YES
1512	0.83	YES
1513	0.72	YES
1514	0.66	NO
1515	0.77	YES
1516	0.56	NO
1517	0.78	YES
1518	0.66	NO
1519	0.73	YES
1520	0.76	YES
1521	0.74	YES
1522	0.79	YES
1523	0.85	YES
1524	0.77	YES
1525	0.69	NO
1526	0.71	YES
1527	0.79	YES
1528	0.70	YES
1529	0.78	YES
1530	0.78	YES
1531	0.71	YES
1532	0.75	YES
1533	0.70	NO
1534	0.69	NO
1535	0.77	YES
1536	0.76	YES
1537	0.76	YES
1538	0.66	NO
1539	0.73	YES
1540	0.70	NO
1541	0.60	NO
1542	0.74	YES
1543	0.84	YES
1544	0.80	YES
1545	0.83	YES
1546	0.70	YES
1547	0.70	YES
1548	0.74	YES
1549	0.72	YES
1550	0.76	YES
1551	0.66	NO
1552	0.64	NO
1553	0.75	YES
1554	0.72	YES
1555	0.79	YES
1556	0.82	YES
1557	0.81	YES
1558	0.72	YES
1559	0.80	YES
1560	0.78	YES
1561	0.76	YES
1562	0.79	YES
1563	0.70	NO
1564	0.80	YES
1565	0.73	YES
1566	0.76	YES
1567	0.63	NO
1568	0.62	NO
1569	0.67	NO
1570	0.80	YES
1571	0.77	YES
1572	0.75	YES
1573	0.74	YES
1574	0.87	YES
1575	0.80	YES
1576	0.68	NO
1577	0.69	NO
1578	0.74	YES
1579	0.76	YES
1580	0.68	NO
1581	0.78	YES
1582	0.81	YES
1583	0.88	YES
1584	0.80	YES
1585	0.59	NO
1586	0.80	YES
1587	0.73	YES
1588	0.67	NO
1589	0.69	NO
1590	0.53	NO
1591	0.70	YES
1592	0.67	NO
1593	0.77	YES
1594	0.82	YES
1595	0.55	NO
1596	0.75	YES
1597	0.68	NO
1598	0.79	YES
1599	0.79	YES
1600	0.84	YES
1601	0.73	YES
1602	0.65	NO
1603	0.61	NO
1604	0.71	YES
1605	0.82	YES
1606	0.71	YES
1607	0.78	YES
1608	0.69	NO
1609	0.78	YES
1610	0.73	YES
1611	0.60	NO
1612	0.69	NO
1613	0.77	YES
1614	0.74	YES
1615	0.71	YES
1616	0.78	YES
1617	0.75	YES
1618	0.80	YES
1619	0.56	NO
1620	0.80	YES
1621	0.78	YES
1622	0.81	YES
1623	0.71	YES
1624	0.71	YES
1625	0.78	YES
1626	0.68	NO
1627	0.82	YES
1628	0.66	NO
1629	0.69	NO
1630	0.80	YES
1631	0.77	YES
1632	0.80	YES
1633	0.66	NO
1634	0.80	YES
1635	0.79	YES
1636	0.76	YES
1637	0.78	YES
1638	0.74	YES
1639	0.69	NO
1640	0.78	YES
1641	0.87	YES
1642	0.79	YES
1643	0.74	YES
1644	0.67	NO
1645	0.80	YES
1646	0.67	NO
1647	0.66	NO
1648	0.79	YES
1649	0.83	YES
1650	0.76	YES
1651	0.81	YES
1652	0.72	YES
1653	0.71	YES
1654	0.85	YES
1655	0.65	NO
1656	0.64	NO
1657	0.66	NO
1658	0.79	YES
1659	0.86	YES
1660	0.63	NO
1661	0.60	NO
1662	0.72	YES
1663	0.71	YES
1664	0.77	YES
1665	0.76	YES
1666	0.80	YES
1667	0.66	NO
1668	0.73	YES
1669	0.82	YES
1670	0.62	NO
1671	0.71	YES
1672	0.77	YES
1673	0.74	YES
1674	0.67	NO
1675	0.67	NO
1676	0.77	YES
1677	0.75	YES
1678	0.86	YES
1679	0.68	NO
1680	0.73	YES
1681	0.72	YES
1682	0.73	YES
1683	0.72	YES
1684	0.80	YES
1685	0.69	NO
1686	0.72	YES
1687	0.80	YES
1688	0.82	YES
1689	0.82	YES
1690	0.65	NO
1691	0.89	YES
1692	0.77	YES
1693	0.72	YES
1694	0.78	YES
1695	0.77	YES
1696	0.78	YES
1697	0.71	YES
1698	0.75	YES
1699	0.65	NO
1700	0.74	YES
1701	0.79	YES
1702	0.81	YES
1703	0.74	YES
1704	0.90	YES
1705	0.74	YES
1706	0.79	YES
1707	0.74	YES
1708	0.70	YES
1709	0.68	NO
1710	0.67	NO
1711	0.75	YES
1712	0.63	NO
1713	0.74	YES
1714	0.77	YES
1715	0.77	YES
1716	0.73	YES
1717	0.77	YES
1718	0.79	YES
1719	0.77	YES
1720	0.70	YES
1721	0.67	NO
1722	0.78	YES
1723	0.75	YES
1724	0.73	YES
1725	0.66	NO
1726	0.72	YES
1727	0.78	YES
1728	0.82	YES
1729	0.65	NO
1730	0.76	YES
1731	0.69	NO
1732	0.76	YES
1733	0.77	YES
1734	0.70	YES
1735	0.69	NO
1736	0.64	NO
1737	0.73	YES
1738	0.78	YES
1739	0.76	YES
1740	0.84	YES
1741	0.73	YES
1742	0.79	YES
1743	0.80	YES
1744	0.68	NO
1745	0.70	NO
1746	0.80	YES
1747	0.78	YES
1748	0.69	NO
1749	0.61	NO
1750	0.63	NO
1751	0.74	YES
1752	0.65	NO
1753	0.88	YES
1754	0.70	YES
1755	0.66	NO
1756	0.82	YES
1757	0.78	YES
1758	0.74	YES
1759	0.63	NO
1760	0.73	YES
1761	0.90	YES
1762	0.72	YES
1763	0.74	YES
1764	0.80	YES
1765	0.76	YES
1766	0.70	YES
1767	0.78	YES
1768	0.75	YES
1769	0.66	NO
1770	0.68	NO
1771	0.84	YES
1772	0.83	YES
1773	0.77	YES
1774	0.76	YES
1775	0.76	YES
1776	0.79	YES
1777	0.64	NO
1778	0.74	YES
1779	0.73	YES
1780	0.82	YES
1781	0.72	YES
1782	0.77	YES
1783	0.65	NO
1784	0.78	YES
1785	0.80	YES
1786	0.67	NO
1787	0.82	YES
1788	0.63	NO
1789	0.71	YES
1790	0.62	NO
1791	0.76	YES
1792	0.68	NO
1793	0.78	YES
1794	0.80	YES
1795	0.79	YES
1796	0.77	YES
1797	0.75	YES
1798	0.76	YES
1799	0.70	NO
1800	0.61	NO
1801	0.71	YES
1802	0.56	NO
1803	0.79	YES
1804	0.83	YES
1805	0.79	YES
1806	0.82	YES
1807	0.65	NO
1808	0.67	NO
1809	0.73	YES
1810	0.68	NO
1811	0.78	YES
1812	0.72	YES
1813	0.80	YES
1814	0.72	YES
1815	0.81	YES
1816	0.71	YES
1817	0.80	YES
1818	0.78	YES
1819	0.67	NO
1820	0.65	NO
1821	0.72	YES
1822	0.72	YES
1823	0.68	NO
1824	0.77	YES
1825	0.79	YES
1826	0.74	YES
1827	0.69	NO
1828	0.85	YES
1829	0.77	YES
1830	0.79	YES
1831	0.82	YES
1832	0.74	YES
1833	0.75	YES
1834	0.75	YES
1835	0.64	NO
1836	0.70	NO
1837	0.72	YES
1838	0.75	YES
1839	0.73	YES
1840	0.71	YES
1841	0.70	YES
1842	0.81	YES
1843	0.66	NO
1844	0.71	YES
1845	0.76	YES
1846	0.77	YES
1847	0.75	YES
1848	0.58	NO
1849	0.71	YES
1850	0.84	YES
1851	0.89	YES
1852	0.62	NO
